,ID,City,Job Wage (Avg),Number of Jobs,Population,Household Income (Avg),Avg Wage Rank,Jobs Per Capita Rank,Wage Ratio Rank,# of Jobs Rank,Total City Score
105,16060,"Carbondale-Marion, IL",61655.0,100,126672,55799,106,108,28,112,354
106,21820,"Fairbanks, AK",70800.0,200,100602,87359,67,82,110,97,356
107,31460,"Madera, CA",65283.333329999994,170,154966,67604,94,106,67,103,370
108,33660,"Mobile, AL",55966.0,570,414852,61800,114,96,92,71,373
109,11500,"Anniston-Oxford-Jacksonville, AL",59123.333329999994,140,114980,58992,109,101,58,105,373
110,23460,"Gadsden, AL",59840.0,40,102726,55243,108,119,36,118,381
111,42700,"Sebring, FL",53140.0,40,101558,48800,116,118,32,117,383
112,22520,"Florence-Muscle Shoals, AL",58400.0,70,146646,57924,110,116,55,114,395
113,19300,"Daphne-Fairhope-Foley, AL",62445.0,250,207509,74892,104,103,104,93,404
114,27980,"Kahului-Wailuku-Lahaina, HI",66596.66667,200,165472,98544,88,102,118,98,406
115,49700,"Yuba City, CA",48702.5,330,171243,68476,119,84,117,86,406
116,12220,"Auburn-Opelika, AL",61960.0,70,158983,64562,105,117,71,116,409
117,27860,"Jonesboro, AR",52293.33333,170,129789,60371,118,99,98,104,419
118,19500,"Decatur, IL",52980.0,0,106651,62668,117,120,101,120,458
119,26140,"Homosassa Springs, FL",0.0,70,142990,51521,120,114,120,115,469
