Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months
310M300US10740,10740,"Albuquerque, NM ",343912,3465,216550,4673,151342,4754,127362,3940,50954,959,61838,2059,75240,2593,31465,1778,68558,1651,80648,2564,93805,2745,44542,2250,31.5
310M300US10780,10780,"Alexandria, LA ",55246,1956,36770,1865,23724,1741,18476,1950,42136,3674,54202,5265,73211,5690,22900,3888,62594,3825,72528,5206,N,N,39208,7080,33.9
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ ",317457,3206,215555,4874,159423,4744,101902,4419,63022,1436,75440,2292,92045,2702,36977,2139,82857,2095,94860,2691,110171,3355,51814,3917,32.9
310M300US11020,11020,"Altoona, PA ",51154,1222,32897,1547,24110,1546,18257,1389,43443,3931,59272,3581,65874,4724,25956,2401,58867,4822,71014,6369,N,N,34858,5384,41.4
310M300US11100,11100,"Amarillo, TX ",95619,1966,65529,2190,49356,2381,30090,2205,54478,3541,67284,4630,79823,5137,32017,2397,75315,3792,88555,4906,100731,5442,43567,4761,37.2
310M300US11180,11180,"Ames, IA ",37350,985,19711,1446,N,N,17639,1292,53371,4519,84074,11656,96139,5268,23618,3754,70682,5933,97262,8658,N,N,39571,7177,35
310M300US11260,11260,"Anchorage, AK ",135554,2050,90473,2792,67680,2865,45081,2346,82203,2269,95872,4370,110524,3106,53255,5675,102233,3574,114235,4103,128550,5240,70990,5720,29
310M300US11460,11460,"Ann Arbor, MI ",140079,1822,81119,2470,64103,2334,58960,2292,65601,2780,95233,3053,112981,4208,36303,2543,94215,3141,123412,5214,140890,5592,52395,4103,33.4
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL ",43972,1687,30403,1889,N,N,13569,1485,41687,3903,52838,3261,59353,4458,21597,2436,58992,5020,68916,6584,N,N,32686,5561,35.4
310M300US11540,11540,"Appleton, WI ",92593,1261,62813,2043,50865,1891,29780,1913,63902,3756,78823,2064,86407,3198,37244,3740,79796,3371,94077,4764,103287,5619,47023,3544,27.9
310M300US11640,11640,"Arecibo, PR ",66520,2381,46709,2537,28031,2330,19811,2080,18428,1712,22641,1746,30589,2540,10478,950,24737,1596,28003,1617,N,N,15392,2870,30.6
310M300US11700,11700,"Asheville, NC ",186656,3117,113828,3914,91294,3987,72828,3724,50541,1498,61802,1388,68018,2732,30894,1993,66888,2370,78712,3125,87081,3633,45831,3427,29.7
310M300US11780,11780,"Ashtabula, OH ",38728,1250,24683,1607,17912,1550,14045,1469,42965,3297,53332,5214,63159,3906,24241,2881,55721,4363,68925,6323,N,N,29763,2892,32.9
310M300US11900,11900,"Athens, OH ",21732,1142,11007,1127,N,N,10725,1272,36193,4196,57274,9947,69449,9257,23927,3635,56230,6361,75159,10685,N,N,35626,7457,38.7
310M300US11980,11980,"Athens, TX ",30403,1432,20734,1622,N,N,9669,1361,44088,4408,52244,8526,66271,6181,24291,5307,64111,9209,68105,5660,N,N,50463,28076,30.6
310M300US12020,12020,"Athens-Clarke County, GA ",78195,1970,46160,2241,33641,2062,32035,1880,43165,2654,62752,3916,78274,5856,23863,2488,65420,3689,86485,5960,N,N,32504,2920,35.8
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA ",2062798,9936,1384362,13934,982343,12813,678436,12402,62613,890,74498,1113,91601,1127,41063,599,86546,1080,100154,1325,119026,1862,55342,1442,34.3
310M300US12100,12100,"Atlantic City-Hammonton, NJ ",96777,2551,64206,2769,44940,2736,32571,2302,56778,4087,72327,5992,91637,7180,32858,3244,77520,3298,90643,4057,N,N,46874,4335,39
310M300US12180,12180,"Auburn, NY ",30966,1110,18539,1025,13311,1004,12427,1115,54995,4267,66121,3773,77689,4963,36164,3863,68575,3961,76794,4066,N,N,51709,7858,37.3
310M300US12220,12220,"Auburn-Opelika, AL ",59354,1783,35925,2319,N,N,23429,2478,48056,3169,66857,7211,84390,8339,26351,7069,64562,5188,84597,7787,N,N,33186,3497,37.7
310M300US12260,12260,"Augusta-Richmond County, GA-SC ",219167,3417,151232,4466,105409,4494,67935,3987,48543,2304,59405,3433,74890,2725,32324,2910,64651,2169,74325,2929,89398,3391,41294,2435,41.1
310M300US12300,12300,"Augusta-Waterville, ME ",47791,1833,29339,1985,22950,1737,18452,1947,51573,3712,65748,5206,79831,6405,27321,3646,64429,3916,79158,5755,N,N,38272,3841,24.9
310M300US12420,12420,"Austin-Round Rock, TX ",741176,5596,459997,7317,351713,7023,281179,6971,71000,944,90208,1751,103625,1937,48310,1937,96786,1747,115132,2629,131201,2901,63621,2034,32.2
310M300US12540,12540,"Bakersfield, CA ",270359,3011,197797,4543,137548,4729,72562,3809,49903,1490,54475,2507,70255,3328,32989,3135,67594,2127,73198,2544,87964,3802,46367,3260,33.3
310M300US12580,12580,"Baltimore-Columbia-Towson, MD ",1045165,6536,677727,8677,476225,8767,367438,7730,76788,1312,94997,1459,117643,1948,44972,1587,99655,1288,117904,1591,140190,2149,61369,1888,37.9
310M300US12620,12620,"Bangor, ME ",60195,1491,37586,2181,27557,1879,22609,2183,47328,2968,62685,4224,73096,4105,24796,3376,62849,4093,72102,3324,83878,4440,44299,9441,28.9
310M300US12700,12700,"Barnstable Town, MA ",92582,3857,57923,3011,44902,2992,34659,2398,67898,2935,85900,3619,96120,4177,36388,1586,91777,5634,110334,6941,N,N,58016,7913,34.1
310M300US12940,12940,"Baton Rouge, LA ",296740,4455,191978,5304,131038,5412,104762,5372,52487,2322,67821,3587,89862,4244,32199,2210,76112,2658,90766,3832,109809,4923,46724,3637,40.9
310M300US12980,12980,"Battle Creek, MI ",52888,1350,32715,1825,22767,1583,20173,1640,45902,2822,60365,4913,74306,3468,26874,2525,61465,3819,74099,5203,N,N,38104,4461,28.8
310M300US13020,13020,"Bay City, MI ",43876,1199,28782,1529,20880,1678,15094,1423,44756,3736,55667,5272,71049,8279,27433,3240,60261,4407,71388,6695,N,N,36631,3350,38.4
310M300US13140,13140,"Beaumont-Port Arthur, TX ",152244,2134,101550,2977,70516,3329,50694,2943,49364,2632,61007,3938,76373,4682,29590,2948,68907,3084,78797,3730,92906,4707,46224,5505,49.5
310M300US13180,13180,"Beaver Dam, WI ",34648,810,23019,1170,18102,964,11629,1108,55856,3413,68458,4121,74951,3565,31439,1817,66121,3520,74835,3705,N,N,45862,8615,39
310M300US13220,13220,"Beckley, WV ",47940,1629,32190,2009,N,N,15750,1736,44178,4301,58124,2312,68256,5223,20796,2769,55995,2975,66696,3649,N,N,30878,4132,33.6
310M300US13380,13380,"Bellingham, WA ",84011,2072,48905,2453,N,N,35106,2402,56411,4819,74460,5091,82480,7071,31908,3302,71154,3568,88908,5464,N,N,44306,3455,30.4
310M300US13460,13460,"Bend-Redmond, OR ",71262,1966,47402,2513,N,N,23860,2453,61870,3790,73904,4338,81597,7125,36679,4754,78473,5221,93020,7672,N,N,45311,4709,37.2
310M300US13740,13740,"Billings, MT ",69484,1700,44306,2128,35965,1942,25178,2388,58037,3300,74583,3571,82347,3598,35019,3894,74916,3162,91330,4756,N,N,44115,4269,36.9
310M300US13780,13780,"Binghamton, NY ",96261,2239,59303,2413,45047,1942,36958,2378,51360,2089,66291,4237,77551,3545,27421,3024,67745,3168,82567,4323,N,N,41238,3620,37.3
310M300US13820,13820,"Birmingham-Hoover, AL ",438479,5239,291670,5806,207188,5251,146809,4864,52226,990,67858,1976,81937,2314,29592,1707,74082,2071,88883,3109,106562,4108,42792,3105,37.2
310M300US13900,13900,"Bismarck, ND ",54085,1264,33422,1984,N,N,20663,2045,65527,4700,85270,5433,93972,6539,41764,5851,87226,6855,104839,8927,N,N,56005,11812,32.6
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA ",70441,2204,41795,2415,32621,2316,28646,2385,50950,1742,64665,5871,72146,5053,24618,6387,72205,6534,88689,8213,94519,7680,42423,10538,36.8
